date,VNINDEX,SSI,HCM,REE,PVT
1/23/19,908.18,19.75,20.82,29.32,15.65
1/22/19,906.55,19.82,20.19,29.32,15.65
1/21/19,911.05,19.86,19.46,29.59,15.37
1/18/19,902.3,19.51,19.35,29.05,15.41
1/17/19,901.89,19.55,19.44,28.55,15.56
1/16/19,908.7,19.98,19.39,28.82,15.6
1/15/19,909.68,20.17,19.17,29.05,15.6
1/14/19,901.8,20.02,19.17,28.32,15.13
11/1/19,902.71,20.29,19.46,28.5,15.18
10/1/19,898.3,19.82,19.17,28.14,15.13
9/1/19,896.99,19.98,19.61,27.69,15.18
8/1/19,887.44,19.94,19.88,27.15,15.04
7/1/19,889.64,20.21,19.88,27.33,15.13
4/1/19,880.9,20.17,19.79,26.97,15.04
3/1/19,878.22,20.17,19.57,27.15,14.37
2/1/19,891.75,20.56,20.68,27.73,14.75
12/28/18,892.54,20.68,20.88,27.87,14.85
12/27/18,900.81,20.95,21.13,27.96,14.61
12/26/18,891.75,20.68,20.73,27.78,14.47
12/25/18,897.94,20.83,20.88,27.69,14.56
12/24/18,908.56,20.95,21.4,28.32,14.85
12/21/18,912.26,21.61,22.11,28.64,14.8
12/20/18,918.24,21.84,22.51,28.73,14.99
12/19/18,919.24,21.8,21.84,28.91,15.04
12/18/18,927.25,21.88,22.73,28.82,15.08
12/17/18,933.65,22.15,23.72,28.64,15.18
12/14/18,952.04,22.73,24.7,29.32,15.51
12/13/18,960.25,23.04,25.01,29.73,15.13
12/12/18,961.28,23,25.01,29.86,15.08
11/12/18,954.58,22.62,24.87,29.59,15.13
10/12/18,955.89,22.69,25.19,29.91,15.23
7/12/18,958.59,23,25.63,30.18,15.08
6/12/18,954.82,22.81,25.05,30.09,15.13
5/12/18,957.14,22.89,25.05,30.22,15.13
4/12/18,958.84,22.85,25.05,30.18,15.37
3/12/18,951.59,23,25.01,30,15.46
11/30/18,926.54,22.11,24.34,28.78,15.13
11/29/18,926.79,21.96,24.47,29.32,15.13
11/28/18,930.2,21.88,24.21,29.27,15.13
11/27/18,923.12,21.69,24.25,29.27,15.23
11/26/18,921.03,21.57,24.38,29.41,15.6
11/23/18,917.97,21.65,24.47,29.59,15.51
11/22/18,924.42,22.23,24.91,29.41,15.89
11/21/18,922.56,22.42,25.13,29.5,15.98
11/20/18,919.02,22.03,25,28.19,15.89
11/19/18,916.06,22.11,24.52,28.32,16.08
11/16/18,898.19,21.49,24.29,28.14,16.03
11/15/18,897.15,21.41,24.69,27.78,16.03
11/14/18,900.93,21.57,24.91,27.6,16.69
11/13/18,905.38,21.61,24.65,28.01,15.6
12/11/18,918.12,21.96,24.91,28.19,16.03
9/11/18,914.29,21.57,23.81,28.23,16.08
8/11/18,926.28,22.23,24.29,28.64,16.36
7/11/18,922.16,22.11,24.21,28.32,16.27
6/11/18,922.05,22.19,24.74,28.59,16.6
5/11/18,925.53,22.42,25.04,28.96,16.93
2/11/18,924.86,22.34,25.35,28.96,17.07
1/11/18,907.96,21.72,24.03,27.96,16.74
10/31/18,914.76,22.23,24.16,28.5,16.55
10/30/18,888.69,21.34,23.5,27.82,16.03
10/29/18,888.82,21.26,23.72,28.46,15.6
10/26/18,900.82,21.37,23.24,28.5,15.75
10/25/18,910.17,21.72,23.81,28.96,15.94
10/24/18,922.73,21.96,24.07,29.63,15.89
10/23/18,939.68,22.5,24.69,30.04,15.89
10/22/18,953.51,23.28,25.18,30.77,16.6
10/19/18,958.36,23.39,26.9,30.58,16.6
10/18/18,963.47,23.59,27.34,31.04,16.64
10/17/18,971.6,23.9,27.73,31.67,16.55
10/16/18,963.37,23.55,27.69,31.08,16.41
10/15/18,951.64,23.51,27.69,30.58,16.64
12/10/18,970.08,24.01,28.17,31.44,16.79
11/10/18,945.89,23.55,27.34,30.77,16.83
10/10/18,993.96,25.29,29.37,33.07,17.68
9/10/18,996.19,25.33,29.5,33.48,17.73
8/10/18,996.12,25.25,29.76,33.44,17.92
5/10/18,1008.39,25.29,29.59,33.53,17.59
4/10/18,1023.62,25.84,30.6,33.44,17.73
3/10/18,1020.4,25.1,30.6,33.03,17.73
