,sticker,name
350,VJC,Công ty Cổ phần Hàng không VietJet
351,VND,Công ty Cổ phần Chứng khoán VNDIRECT
352,VNE,Tổng Công ty Cổ phần Xây dựng Điện Việt Nam
353,VNG,Công ty Cổ phần Du lịch Thành Thành Công
354,VNM,Công ty Cổ phần Sữa Việt Nam
355,VNS,Công ty Cổ phần Ánh Dương Việt Nam
356,VOS,Công ty Cổ phần Vận tải Biển Việt Nam
357,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng
358,VPG,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát
359,VPH,Công ty Cổ phần Vạn Phát Hưng
360,VPI,Công ty Cổ phần Đầu tư Văn Phú - Invest
361,VRC,Công ty Cổ phần Bất động sản và Đầu tư VRC
362,VRE,Công ty Cổ phần Vincom Retail
363,VSC,Công ty Cổ phần Container Việt Nam
364,YBM,Công ty Cổ phần Khoáng sản Công nghiệp Yên Bái
365,YEG,Công ty Cổ phần Tập đoàn Yeah1
